source,model_or_table,current_role,target_layer,target_concept,decision,stage,replacement_or_retirement,acceptance_criteria,notes
Relish,User,Account plus tenant owner,Platform/Workspace,Account/Workspace principal -> Person,Evolve,8.1,User gains Person identity link; existing auth/tenant role remains,Every migrated linked-user relationship can resolve to Person without weakening tenant boundaries,Keep current userId isolation during transition
Relish,Lead,Claimable public/contact lead,Platform/Workspace,Onboarding/referral lead,Keep,Later,,,Do not confuse with MarketLead
Relish,MagicToken,Authentication,Platform,Auth token,Keep,None,,,No Core role
Relish,InviteToken,Public invite/auth,Platform,Invite token,Keep,None,,,No Core role
Relish,OAuthAccount,External login,Platform,Account identity provider,Keep,None,,,May later help Person identity but remains auth data
Relish,Session,Authentication,Platform,Session,Keep,None,,,No Core role
Relish,Subscription,Billing,Platform,Billing,Keep,None,,,No Core role
Relish,Tag,Workspace taxonomy,Workspace,Tag/taxonomy,Keep,Later,,,Could later support Core classifications but not foundational
Relish,TagAlias,Workspace taxonomy,Workspace,Tag alias,Keep,Later,,,
Relish,Contact,Workspace-scoped person record,Workspace/Core bridge,Workspace Contact -> Person identity bridge,Evolve and subsume linkedUserId,8.1,Person becomes canonical identity; linkedUserId becomes temporary compatibility metadata,Existing linked Relish users resolve through Person; Contact.userId isolation remains; no global data merge,Do not add Person as a second unrelated identity mechanism.
Relish,Interaction,Contact interaction,Core,Interaction,Evolve,8.2,,,Generalise source/context over time
Relish,InteractionEmbedding,Semantic interaction search,Core,Private Interaction embedding,Keep/Evolve,8.2+,,,Later distinguish private vs matchable embeddings Embeddings are sensitive derived data; future network embedding must come from permitted projection.
Relish,ContactTag,Workspace taxonomy link,Workspace,WorkspacePerson tag,Keep,Later,,,
Relish,CompanyTag,Workspace taxonomy link,Workspace,WorkspaceOrganisation tag,Keep,Later,,,
Relish,Reminder,Human follow-up,Workspace,Reminder,Keep,None,,,
Relish,Profile,Explicit public profile projection,Interface/Trust,Shareable profile/projection,Evolve,8.6+,,,Useful seed for explicit shareability not canonical Person truth
Relish,ContactRelationship,Workspace person-person relation,Core/Workspace bridge,Relationship assertion,Evolve,8.2+,,,Retain context/provenance rather than globalising silently
Relish,Deal,Commercial transaction workflow,Workspace,M&A Deal,Keep,None,,,Not Core universal outcome
Relish,DealNote,Deal interaction/note,Workspace,Operational interaction/evidence,Keep/Split,Later,,,Some notes may feed Core Interaction
Relish,DealContact,Person state in deal,Workspace,M&A participant workflow,Keep,None,,,Broker-specific stages stay Workspace
Relish,DealContactNote,Deal-person note,Workspace,Operational interaction/evidence,Keep/Split,Later,,,
Relish,Company,Workspace organisation record,Workspace/Core bridge,WorkspaceOrganisation -> Organisation,Evolve,8.1/8.2,,,Do after Person bridge if desired
Relish,CompanyNote,Company note,Workspace,Operational interaction/evidence,Keep/Split,Later,,,
Relish,CompanyContact,Person-organisation membership,Core/Workspace bridge,Organisation relationship,Evolve,8.2+,,,Context scoped
Relish,CompanyContactNote,Membership note,Workspace,Operational interaction/evidence,Keep/Split,Later,,,
Relish,DealCompany,Company in deal,Workspace,M&A participant workflow,Keep,None,,,
Relish,CompanyRelationship,Workspace organisation relation,Core/Workspace bridge,Relationship assertion,Evolve,8.2+,,,
Relish,Want,First-class demand intent,Core,Want,Canonical candidate - consolidate implementation,8.3,ExchangeItem is retired; duplicated Want/Offer logic moves to shared Core intention infrastructure,One authoritative representation per concept; no ExchangeItem dependency; data preserved,Strong Core seed; add subject/custodian/provenance/match participation
Relish,WantNote,Want note/voice,Core/Workspace,Interaction/evidence or operational note,Split,8.2+,,,Do not make note canonical truth
Relish,Offer,First-class supply/capability intent,Core,Offer,Canonical candidate - consolidate implementation,8.3,ExchangeItem is retired; duplicated Want/Offer logic moves to shared Core intention infrastructure,One authoritative representation per concept; no ExchangeItem dependency; data preserved,Strong Core seed; add subject/custodian/provenance/match participation
Relish,OfferNote,Offer note/voice,Core/Workspace,Interaction/evidence or operational note,Split,8.2+,,,
Relish,ExchangeItem,Legacy Want/Offer compatibility,Legacy,Retired legacy exchange abstraction,Retire,8.3,Canonical Want/Offer structure selected in 8.3,"No write path, no required foreign keys, all rows/links reconciled, no service/UI dependency",8.3 is a consolidation release. Do not add a third intent authority.
Relish,LeadSource,Workspace source dropdown,Workspace,Lead source config,Keep,None,,,
Relish,MarketLead,Unconfirmed market-making lead,Workspace,Operational staging lead,Keep,None,,,May generate claims but is not Core truth
Relish,MarketLeadNote,Lead note,Workspace,Operational evidence,Keep/Split,Later,,,
Relish,Project,Human work container,Workspace,Project,Keep,None,,,
Relish,ProjectWorkstream,Human work lane,Workspace,Workstream,Keep,None,,,
Relish,ProjectDeal,Project-deal link,Workspace,Operational link,Keep,None,,,
Relish,ProjectNote,Project note,Workspace,Operational note,Keep,None,,,
Relish,Task,Human operational action,Workspace,Task,Keep,None,,,Actions are downstream of relationship state
Relish,ResearchCandidate,Agent research staging,Workspace/Agent,Research candidate,Keep,8.0.1+,,,8.0.1 must require APPROVED before import into canonical CRM data.
Relish,ResearchSource,Evidence/source record,Core/Agent bridge,Provenance source,Evolve,8.2,,,Strong provenance seed. Authority/source is distinct from confidence.
Relish,ContactEnrichment,Field-level proposed changes,Workspace/Agent,Review/staging workflow,Keep,8.0.1/8.2+,,,8.0.1 must require APPROVED before apply; later applied evidence may confirm claims.
Relish,OpportunityScore,Domain attention score,Workspace/Agent,Domain scoring,Keep,None,,,Not universal Core compatibility
Relish,OpportunityScoreFactor,Explainable score factor,Workspace/Agent,Domain scoring evidence,Keep,None,,,
Relish,AgentDefinition,Workspace-scoped agent config,Platform/Agent,Agent deployment/persona/purpose,Evolve,8.4,,,Split purpose from access authority over time
Relish,AgentPromptVersion,Prompt audit,Platform/Agent,Prompt version,Keep,None,,,
Relish,AgentToolDefinition,Tool catalog,Platform/Agent,Tool definition,Keep,None,,,
Relish,AgentToolPermission,Action/tool permissions,Platform/Trust,Action permission,Evolve,8.1/8.5,,,Action/tool permission remains useful but does not enforce relationship-data scope. Add scoped Core repository boundary.
Relish,AgentRun,Agent execution audit,Platform/Agent,Agent run,Keep,None,,,
Relish,AgentStep,Agent execution audit,Platform/Agent,Agent step,Keep,None,,,
Relish,AgentToolCall,Agent tool audit,Platform/Agent,Tool call,Keep,None,,,
Relish,ModelInvocation,LLM audit,Platform/Agent,Model invocation,Keep,None,,,
Relish,AgentArtifact,Durable agent output,Platform/Workspace,Artifact,Keep,None,,,
Relish,ApprovalRequest,Human approval gate,Platform/Trust,Approval,Keep/Evolve,8.0.1+,,,Generic approval gate currently blocks terminally; no generic resume path. Test current invariant rather than imagined resume behaviour.
